model_id,base_model_relation,source_model
openai-community/gpt2,base,openai-community/gpt2
peft-internal-testing/gpt2-lora-random,adapter,openai-community/gpt2
leonvanbokhorst/emotion-gpt2-lora,adapter,openai-community/gpt2
washimneupane/results,adapter,openai-community/gpt2
monsterapi/gpt2_124m_norobots,adapter,openai-community/gpt2
Ikeofai/outputs,adapter,openai-community/gpt2
monsterapi/gpt2_alpaca-lora,adapter,openai-community/gpt2
garak-llm/artgpt2tox,finetune,openai-community/gpt2
riturajpandey739/gpt2-sentiment-analysis-tweets,finetune,openai-community/gpt2
manupande21/GPT2_PMC,finetune,openai-community/gpt2
akari000/gpt-2-artificial-vss-40,finetune,openai-community/gpt2
theabdulsaboor/gpt2-therapist-finetuned,finetune,openai-community/gpt2
IntelLabs/aac_gpt2,finetune,openai-community/gpt2
Katpeeler/midi_model_3,finetune,openai-community/gpt2
Nikojamesnow/gpt2-wikitext2,finetune,openai-community/gpt2
google/gemma-7b,base,google/gemma-7b
VAGOsolutions/SauerkrautLM-Gemma-7b,unknown,google/gemma-7b
MaziyarPanahi/gemma-7b-alpaca-52k-v0.1,adapter,google/gemma-7b
google/gemma-7b-it,finetune,google/gemma-7b
Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,finetune,google/gemma-7b
karakuri-ai/karakuri-lm-7b-apm-v0.1,finetune,google/gemma-7b
google/gemma-7b-aps-it,finetune,google/gemma-7b
Junfeng5/Liquid_V1_7B,finetune,google/gemma-7b
HuggingFaceH4/zephyr-7b-gemma-sft-v0.1,finetune,google/gemma-7b
wandb/gemma-7b-zephyr-sft,finetune,google/gemma-7b
mervinpraison/tamil-large-language-model-7b-v1.0,finetune,google/gemma-7b
masakhane/zephyr-7b-gemma-sft-african-ultrachat-100k,finetune,google/gemma-7b
masakhane/zephyr-7b-gemma-sft-african-ultrachat-200k,finetune,google/gemma-7b
beratcmn/cem-v0.1,finetune,google/gemma-7b
OpenLLM-Ro/RoGemma-7b-Instruct,finetune,google/gemma-7b
masakhane/zephyr-7b-gemma-sft-african-alpaca,finetune,google/gemma-7b
masakhane/African-ultrachat-alpaca,finetune,google/gemma-7b
somosnlp/gemma-7b-it-legal-refugiados-es,finetune,google/gemma-7b
meta-llama/Llama-3.1-8B-Instruct,base,meta-llama/Llama-3.1-8B-Instruct
mkopecki/chess-lora-adapter-llama-3.1-8b,adapter,meta-llama/Llama-3.1-8B-Instruct
RAG-Gym/ReSearch-HotpotQA-PRM,adapter,meta-llama/Llama-3.1-8B-Instruct
cyberpole/Meta-Llama-3.1-8B-Instruct-mergedORPO,adapter,meta-llama/Llama-3.1-8B-Instruct
chchen/Llama-3.1-8B-Instruct-PsyCourse-fold5,adapter,meta-llama/Llama-3.1-8B-Instruct
chchen/Llama-3.1-8B-Instruct-PsyCourse-fold8,adapter,meta-llama/Llama-3.1-8B-Instruct
nvidia/llama-3.1-nemoguard-8b-topic-control,adapter,meta-llama/Llama-3.1-8B-Instruct
chano12/comedy_llama_response_generation_inden,adapter,meta-llama/Llama-3.1-8B-Instruct
Elfsong/Llama-3.1-8B-Instruct-QG-SFT-Adapter,adapter,meta-llama/Llama-3.1-8B-Instruct
unsloth/Meta-Llama-3.1-8B-Instruct,finetune,meta-llama/Llama-3.1-8B-Instruct
watt-ai/watt-tool-8B,finetune,meta-llama/Llama-3.1-8B-Instruct
Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,finetune,meta-llama/Llama-3.1-8B-Instruct
unsloth/Llama-3.1-8B-Instruct,finetune,meta-llama/Llama-3.1-8B-Instruct
Team-ACE/ToolACE-8B,finetune,meta-llama/Llama-3.1-8B-Instruct
AtlaAI/Selene-1-Mini-Llama-3.1-8B,finetune,meta-llama/Llama-3.1-8B-Instruct
HKUSTAudio/Llasa-8B,finetune,meta-llama/Llama-3.1-8B-Instruct
arcee-ai/Llama-3.1-SuperNova-Lite,finetune,meta-llama/Llama-3.1-8B-Instruct
barc0/Llama-3.1-ARC-Potpourri-Induction-8B,finetune,meta-llama/Llama-3.1-8B-Instruct
DeepMount00/Llama-3.1-8b-ITA,finetune,meta-llama/Llama-3.1-8B-Instruct
mistralai/Mistral-7B-Instruct-v0.2,base,mistralai/Mistral-7B-Instruct-v0.2
GRMenon/mental-health-mistral-7b-instructv0.2-finetuned-V2,adapter,mistralai/Mistral-7B-Instruct-v0.2
UnderstandLing/Mistral-7B-Instruct-v0.2-es,adapter,mistralai/Mistral-7B-Instruct-v0.2
UnderstandLing/Mistral-7B-Instruct-v0.2-de,adapter,mistralai/Mistral-7B-Instruct-v0.2
ruslanmv/Medical-Mixtral-7B-v2k,adapter,mistralai/Mistral-7B-Instruct-v0.2
predibase/Mistral-7B-Instruct-v0.2-conllpp-medusa-lora,adapter,mistralai/Mistral-7B-Instruct-v0.2
Grigorij/mistral_instruct_generation,adapter,mistralai/Mistral-7B-Instruct-v0.2
shenxq/zephyr-7b-dpo-qlora-pairrm,adapter,mistralai/Mistral-7B-Instruct-v0.2
ksswaroop/mistral-7b-instruct,adapter,mistralai/Mistral-7B-Instruct-v0.2
csujeong/Mistral-7B-Finetuning-Insurance,adapter,mistralai/Mistral-7B-Instruct-v0.2
cyberpole/Mistral-7B-Instruct-v0.2-mergedORPO-r8,adapter,mistralai/Mistral-7B-Instruct-v0.2
predibase/Mistral-7B-Instruct-v0.2-conllpp-turbo-lora-vllm,adapter,mistralai/Mistral-7B-Instruct-v0.2
Sreenath/sqlm,adapter,mistralai/Mistral-7B-Instruct-v0.2
segolilylabs/Lily-Cybersecurity-7B-v0.2,finetune,mistralai/Mistral-7B-Instruct-v0.2
abacusai/bigstral-12b-32k,finetune,mistralai/Mistral-7B-Instruct-v0.2
refarde/Mistral-7B-Instruct-v0.2-Ko-S-Core,finetune,mistralai/Mistral-7B-Instruct-v0.2
Edentns/DataVortexM-7B-Instruct-v0.1,finetune,mistralai/Mistral-7B-Instruct-v0.2
NeuralNovel/Gecko-7B-v0.1,finetune,mistralai/Mistral-7B-Instruct-v0.2
mergekit-community/HX-Mistral-3B_v0.1,finetune,mistralai/Mistral-7B-Instruct-v0.2
MaziyarPanahi/Mistral-7B-Instruct-Aya-101,finetune,mistralai/Mistral-7B-Instruct-v0.2
DAMO-NLP-SG/Mistral-7B-LongPO-128K,finetune,mistralai/Mistral-7B-Instruct-v0.2
paulilioaica/MoEstral-2x7B,finetune,mistralai/Mistral-7B-Instruct-v0.2
botbot-ai/CabraMistral7b,finetune,mistralai/Mistral-7B-Instruct-v0.2
intfloat/e5-mistral-7b-instruct,unknown,mistralai/Mistral-7B-v0.1
HuggingFaceH4/zephyr-7b-beta,finetune,mistralai/Mistral-7B-v0.1
teknium/OpenHermes-2.5-Mistral-7B,finetune,mistralai/Mistral-7B-v0.1
HuggingFaceH4/mistral-7b-sft-beta,finetune,mistralai/Mistral-7B-v0.1
openchat/openchat-3.5-0106,finetune,mistralai/Mistral-7B-v0.1
NousResearch/Hermes-2-Pro-Mistral-7B,finetune,mistralai/Mistral-7B-v0.1
HuggingFaceH4/zephyr-7b-alpha,finetune,mistralai/Mistral-7B-v0.1
ibm-research/merlinite-7b,finetune,mistralai/Mistral-7B-v0.1
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,finetune,mistralai/Mistral-7B-v0.1
cognitivecomputations/dolphin-2.2.1-mistral-7b,finetune,mistralai/Mistral-7B-v0.1
Qwen/Qwen1.5-7B,base,Qwen/Qwen1.5-7B
Qwen/Qwen1.5-7B-Chat,unknown,Qwen/Qwen1.5-7B
lucifer-ms/task-3-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
LINYICHEN09/task-4-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
jv99/task-4-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
xiaominghuang/task-4-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
harrisJ1/task-3-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
xiaominghuang/task-5-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
liho00/task-3-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
Hugging-Face-User-2024/task-5-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
leowei1234567/task-5-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
Hugging-Face-User-2024/task-3-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
sail/Sailor-7B,finetune,Qwen/Qwen1.5-7B
Henry94/Qwen1.5-7B-Character,finetune,Qwen/Qwen1.5-7B
rhaymison/Qwen-portuguese-luana-7b,finetune,Qwen/Qwen1.5-7B
lu-vae/qwen1.5-7b-fft,finetune,Qwen/Qwen1.5-7B
tdro-llm/s2-tdro-Qwen1.5-7B-top70,finetune,Qwen/Qwen1.5-7B
tdro-llm/s2-tdro-Qwen1.5-7B-curr,finetune,Qwen/Qwen1.5-7B
tdro-llm/s0-baseline-Qwen1.5-7B,finetune,Qwen/Qwen1.5-7B
l8623001/task-1-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
geoplus/task-5-Qwen-Qwen1.5-7B,adapter,Qwen/Qwen1.5-7B
FacebookAI/roberta-base,base,FacebookAI/roberta-base
SamLowe/roberta-base-go_emotions,unknown,FacebookAI/roberta-base
Intel/toxic-prompt-roberta,quantized,FacebookAI/roberta-base
pitangent-ds/roberta-base-ontonotes,quantized,FacebookAI/roberta-base
deutsche-welle/bias_classifier_roberta_base_peft,adapter,FacebookAI/roberta-base
michfr/sentiment-analyzer,adapter,FacebookAI/roberta-base
pnr-svc/roberta-base-ner-lorafinetune-runs-4-8,adapter,FacebookAI/roberta-base
pnr-svc/roberta-base-ner-lorafinetune-runs-128-1,adapter,FacebookAI/roberta-base
deepset/roberta-base-squad2,finetune,FacebookAI/roberta-base
AnnaWegmann/Style-Embedding,finetune,FacebookAI/roberta-base
mariaantoniak/storyseeker,finetune,FacebookAI/roberta-base
dstefa/roberta-base_topic_classification_nyt_news,finetune,FacebookAI/roberta-base
vibhorag101/roberta-base-suicide-prediction-phr,finetune,FacebookAI/roberta-base
JeremiahZ/roberta-base-sst2,finetune,FacebookAI/roberta-base
hyp1231/blair-roberta-base,finetune,FacebookAI/roberta-base
mariagrandury/roberta-base-finetuned-sms-spam-detection,finetune,FacebookAI/roberta-base
mmochtak/authdetect,finetune,FacebookAI/roberta-base
StyleDistance/styledistance,finetune,FacebookAI/roberta-base
